"Sec Short Name","Board","Session Name","Last","Last Time","Bid Depth","Bid Price","Total Value","Offer Price","Total Volume","Offer Depth","Issued Qty","Security","Ref Price","Change Price","High Limit","Low Limit","Daily Value","Daily Volume","Number of Trades","MM Rule Tag","Contract Size","High","Low","Unadj Prev Price","Previous Date","Inherited State","Open","Open Qty","Close","Change Percent","Avg Price","52 Week High Price","52 Week Low Price","TOP","Orders","Last Auction Price","Has News","Change LTP","Sec Name","ISIN","Quote Basis","Security Board State","Previous Close","Market Cap","CB Ref Price","Change Ref Price","Change CB Ref Price","Change Percent Ref Price","Close Bid Price","Close Bid Depth","Close Offer Price","NMS","Close Offer Depth","CB High Limit","CB Low Limit","Ref Price Div Adj","52 Week High Date","52 Week Low Date","Accrued Interest","Adjustment Factor","Avg Yield","Bid Yield","Board Name","CB Ref Yield","Change CB Ref Yield","Change Ref Yield","Change Yield","Close Bid Yield","Close Offer Yield","Closing Yield","Coupon Rate","Currency Id","Expiry Price","High Yield","Instrument","Is Tradeable","Issue Date","Issuer Id","Last Qty","Last Yield","Low Yield","Market Maker Quotation Status","Maturity Date","Max Qty","Min Qty","Next Coupon Date","Number of Bids","Number of Offers","Off Mkt Last","Off Mkt Last Qty","Off Mkt Value Today","Off Mkt Volume Today","Offer Yield","Open Yield","Option Strike","Option Verb","Previous Yield","Qty Multiplier","Ref Price Date Time","Ref Yield","Sector","Security Remarks","Settlement Date","Settlement Price","Settlement Price Type","TOV","Underlying Security"
"FACIL","BUY-IN","Enquiry","","","","","","","","","508155493","202","183","","219.0","183.0","","","","0","1","","","185","","A","","","","","","","","","","","","","COMMERCIAL FACILITIES COMPANY","KW0EQ0200240","","A","185","94008766.205","185","","","","","","","","","","","185","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS202T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"IFA","BUY-IN","Enquiry","","","","","","","","","672909436","203","110","","132.0","110.0","","","","0","1","","","26.2","","A","","","","","","","","","","","","","INTERNATIONAL FINANCIAL ADVISORS","KW0EQ0200265","","A","26.2","17630227.223","26.2","","","","","","","","","","","26.2","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS203T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"NINV","BUY-IN","Enquiry","","","","","","","","","798090103","204","99.8","","119.0","99.8","","","","0","1","","","99.0","","A","","","","","","","","","","","","","NATIONAL INVESTMENTS COMPANY","KW0EQ0200281","","A","99.0","79010920.197","99.0","","","","","","","","","","","99.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS204T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"KPROJ","BUY-IN","Enquiry","","","","","","","","","1473126168","205","388","","465.0","388.0","","","","0","1","","","285","","A","","","","","","","","","","","","","KUWAIT PROJECTS COMPANY (HOLDING)","KW0EQ0200653","","A","285","419840957.880","285","","","","","","","","","","","285","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","PREMIER_MKT","True","","IS205T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"COAST","BUY-IN","Enquiry","","","","","","","","","584473066","207","44.8","","53.7","44.8","","","","1","1","","","29.5","","A","","","","","","","","","","","","","COAST INVESTMENT & DEVELOPMENT COMPANY","KW0EQ0201453","","A","29.5","17241955.447","29.5","","","","","","","","","","","29.5","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS207T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"SECH","BUY-IN","Enquiry","","","","","","","","","480000000","209","66.6","","79.9","66.6","","","","0","1","","","45.5","","A","","","","","","","","","","","","","THE SECURITIES HOUSE CO.","KW0EQ0200307","","A","45.5","21840000.000","45.5","","","","","","","","","","","45.5","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS209T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"ARZAN","BUY-IN","Enquiry","","","","","","","","","796798664","212","31.6","","37.9","31.6","","","","0","1","","","30.8","","A","","","","","","","","","","","","","ARZAN FINANCIAL GROUP FOR FINANCING AND INVESTMENT","KW0EQ0200331","","A","30.8","24541398.851","30.8","","","","","","","","","","","30.8","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS212T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"MARKAZ","BUY-IN","Enquiry","","","","","","","","","480801747","213","121","","145.0","121.0","","","","0","1","","","107","","A","","","","","","","","","","","","","KUWAIT FINANCIAL CENTRE","KW0EQ0200356","","A","107","51445786.929","107","","","","","","","","","","","107","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS213T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"KMEFIC","BUY-IN","Enquiry","","","","","","","","","261191491","214","19.3","","23.1","19.3","","","","0","1","","","22.0","","A","","","","","","","","","","","","","KUWAIT AND MIDDLE EAST FINANCIAL INVESTMENT CO.","KW0EQ0200372","","A","22.0","5746212.802","22.0","","","","","","","","","","","22.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS214T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
"ALAMAN","BUY-IN","Enquiry","","","","","","","","","180000000","218","58.1","","69.7","58.1","","","","0","1","","","52.0","","A","","","","","","","","","","","","","AL-AMAN INVESTMENT COMPANY","KW0EQ0200208","","A","52.0","9360000.000","52.0","","","","","","","","","","","52.0","","","","1.000000000","","","Buy-In","","","","","","","","","KWD","","","MAIN_MKT","True","","IS218T1","","","","None","","","1","","","","","","","","","","","","","1","1/24/2019 10:00:00 AM","","8700","","1/27/2019","","","",""
